ventureid,type_of_venture,retranscriber,perspective_of_source,nationality,source,date_of_primary_source,name_of_the_ship,name_of_the_captain,name_of_investor,name_of_outfitter,number_of_voyages,internal_crossref,voyage_id_in_tstd,place_of_outfitting,place_of_purchase,place_of_disembarkation,date_of_departure_from_port_of_outfitting,date_trade_began_in_africa,date_of_departure_from_africa,date_vessel_arrived_with_enslaved,date_of_return_to_port_of_outfitting,number_of_enslaved_purchased,number_of_enslaved_sold,share_of_the_ship,complete_data_on_outlays,complete_data_on_returns,profits_reported_in_source,fatecol,various_remarks
GD039,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 408-409, 436",nan,L’Amphitrite,Guyot,Bertrand de Cœuvre,Ballan ainé,1,,31065,nan,Guinée,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,yes,,1,No equivalent in the STDT. Has to be signaled
GD040,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 437",nan,La Demoiselle,Coupry,Bertrand de Cœuvre,Portier de Lantimo et Hamelin fils,1,,31282,nan,Côte d’Or,nan,nan,nan,nan,nan,nan,nan,nan,0.05,yes,with estimates,,1,
GD041,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 437-438",nan,La Rosalie,Bezier,Bertrand de Cœuvre,A. Romanet,1,,30841,nan,Côte de Guinée,nan,nan,nan,nan,nan,nan,nan,nan,0.041666666666667,yes,yes,,1,
GD042,Voyage ,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 438",nan,"Saint-Paul, l’Union, La Confiance",Le Sourd/Pipat/Dumarais,Bertrand de Cœuvre,A. Menard/A. Menard/A. Menard,3,,31099 / 31093 / 31112,nan,Sénégal/Sénégal/Sénégal,nan,nan,nan,nan,nan,nan,nan,nan,0.03125,yes,with estimates,,1,"one equivalent in the STDT for each vessel name. Strange, because each of the 3 captains are listed for each vessels. In the STDT, sources come from Mettas"
GD043,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 438",nan,L’Épreuve,Le Sourd/Le Sourd,Bertrand de Cœuvre,A. Menard/A. Menard,2,,31144 / ?,nan,Sénégal/Sénégal,nan,1784/1784,nan,nan,nan,nan,nan,nan,0.03125,yes,with estimates,,1,
GD044,Ship ,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 439",nan,Le Nouvel Amour,Reingeard/Reingeard,Bertrand de Cœuvre,L. et F. Langevin frères/L. et F. Langevin frères,2,,31284 / 31366,nan,Ralbard/Ralbard,nan,nan,nan,nan,nan,nan,nan,nan,0.066666666666667,yes,with estimates,,1,
GD045,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 439",nan,Les Deux Sœurs,Huet de Relia,Bertrand de Cœuvre,D’Haveloose et Dumaine,1,,31235,nan,Côte d’Or,nan,nan,nan,nan,nan,nan,nan,nan,0.035714285714286,yes,with estimates,,1,contradictory information on the STDT about the captain's name : named as Durocher
GD046,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 439",nan,La Sainte-Anne,De Kérusée,Bertrand de Cœuvre,Libault et Parrant,1,,31187,nan,Côte d’Or,nan,nan,nan,nan,nan,nan,nan,nan,0.041666666666667,yes,with estimates,,1,
GD047,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 276",1768,Prince Cras,,Bertrand de Cœuvre,De Guer,1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,No equivalent in the STDT
GD048,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 276 and 304-305",1772-04-01,Nymphe,,Bertrand de Cœuvre,De Guer,1,,30970,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,No equivalent in the STDT
GD049,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 276 and 304-305",1774-01-10,Nymphe,,Bertrand de Cœuvre,De Guer,1,,31009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,No equivalent in the STDT
GD050,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 276 and 304-305",1775-05-01,Le Saint-Jean-Baptiste,,Bertrand de Cœuvre,De Guer,1,GD050/GD128,31026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD051,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 276 and 304-305",1773-11-19,Le Saint-Jean-Baptiste,,Bertrand de Cœuvre,De Guer,1,GD051/GD127,31000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD052,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 402-403, 428",1791,Le Henry Quatre,Berthommé,Bertrand de Cœuvre,Delaville,1,,,nan,Côte d’Angola,nan,nan,nan,nan,nan,nan,nan,nan,0.1,yes,no,,1,"GD052  and GD138 are actually not the same ship. « Il reste de fortes sommes à recouvrer », but we do not know how much"
GD053,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 278  and 304-305",1783-08-14,Magdelaine,,Bertrand de Cœuvre,Delaville,1,,,nan,Côte d’Angola,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,No equivalent in the STDT
GD054,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 278, 304-305",1783-11-23,La Madame,,Bertrand de Cœuvre,Delaville,1,,31120,nan,Négrier,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD055,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 279",1757-03-05,La Saint-Marthe,,Bertrand de Cœuvre,,1,,30737,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD056,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p.279 p 304-305",1768-02-12,L’Union,,Bertrand de Cœuvre,,1,,30880,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD057,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 279 and 288 and 304-305",1769-06-07,Le Saint-Claude,Fournier,Bertrand de Cœuvre,Bouteiller Père et Fils,1,GD001/GD011/GD012/GD057,30869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD058,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281",1781-12-19,La Jeanne-Thérèse,,Bertrand de Cœuvre,,1,,,nan,Sénégal,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,Not sure of the  equivalent in the STDT
GD059,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281",1792-09,O Luzitano,,Bertrand de Cœuvre,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,No equivalent in the STDT
GD060,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281",1783-12-08,La Jeanne-Thérèse,,Bertrand de Cœuvre,Chaurand,1,,31122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,
GD061,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281 and 304-305",1785-04-25,La Jeanne-Thérèse,,Bertrand de Cœuvre,Chaurand,1,,31163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD062,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 282 and 304-305",1786-11-05,La Jeanne-Thérèse,,Bertrand de Cœuvre,Chaurand,1,,31209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD063,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281",1785-03-29,O Luzitano,,Bertrand de Cœuvre,Chaurand,1,,33914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,No equivalent in the STDT
GD064,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281 and 304-305",1783-04-22,Rose,,Bertrand de Cœuvre,Chaurand,1,,31100,nan,Mozambic,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD065,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281 and 304-305",1783-06-23,Brune,,Bertrand de Cœuvre,Chaurand,1,,31110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD066,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281 and 304-305",1784-12-01,Brune,,Bertrand de Cœuvre,Chaurand,1,,31142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD067,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 281 and 304-305",1785-08-07,Aimable Aline,,Bertrand de Cœuvre,Chaurand,1,,31157,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD068,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 282 and 304-305",1787-02-19,Aimable Aline,,Bertrand de Cœuvre,Chaurand,1,,31220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD069,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 282 and 304-305",1786-01-24,Marie-Margueritte,,Bertrand de Cœuvre,,1,,31206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD070,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 282 and 304-305",1787-04-02,Louis,,Bertrand de Cœuvre,Chaurand,1,,31224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,returns have been rectified according to Rinchon (1956) p126
GD071,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 282",1782-06-19,Juliette,,Bertrand de Cœuvre,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,No equivalent in the STDT: Only “suspecté de traite” by Meyer
GD072,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 276",1770-01-05,St-François,,Bertrand de Cœuvre,De Guer,1,,30926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,« armé par la compagnie de L’Asiento »
GD073,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 276",1770,St-Jacques,,Bertrand de Cœuvre,De Guer,1,,30927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD074,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 278 ",nan,St-Jean-Baptiste,,Bertrand de Cœuvre,Ballan ainé,1,,31011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,Navire pris par les portugais
GD075,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 279 and 288-289 and 304-305",1786-05-29,Le bailly de Suffren,,Bertrand de Cœuvre,,1,GD30/GD075/GD076/GD077/GD155,31188,nan,nan,nan,nan,nan,nan,nan,nan,545,531,,yes,no,,,
GD076,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 279 and 288-289 and 304-305",1786-04-10,La Fine,,Bertrand de Cœuvre,,1,GD30/GD075/GD076/GD077/GD155,31184,nan,nan,nan,nan,nan,nan,nan,nan,209,179,,yes,no,,,
GD077,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 279 and 288-289 and 304-305",1786-05-29,Le Passe Partout,,Bertrand de Cœuvre,,1,GD30/GD075/GD076/GD077/GD155,31189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD078,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 280 & 290",1789-03-17,Le Bailli de Suffren,,Bertrand de Cœuvre,,1,,31279,nan,nan,nan,nan,nan,nan,nan,nan,479,424,,yes,no,,,Je ne comprends pas les comptes de la page 290 à partir desquels on peut calculer les retours…
GD080,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 279 and 288 and 304-305",1770-03-06,Saint-Guillaume,,Bertrand de Cœuvre,,1,GD021/GD080,30931,nan,Angola,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD081,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 304-305",1771-06-08,Trois Marie,,Bertrand de Cœuvre,,1,,30949,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,
GD103,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",nan,Amaranthe,,,Chateaubriand,1,,33211,nan,nan,nan,1763-05,nan,nan,nan,1764-12,nan,nan,1,yes,yes,,,
GD104,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",nan,Saint-René,,,Chateaubriand,1,,33245,nan,nan,nan,1768-03,nan,nan,nan,1769-11,nan,nan,1,yes,yes,,,
GD105,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",nan,Saint-René,,,Chateaubriand,1,,33262,nan,nan,nan,1770-08,nan,nan,nan,1771-08,nan,nan,1,yes,yes,,,
GD106,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",nan,Saint-René,,,Chateaubriand,1,,33271,nan,nan,nan,1772-07,nan,nan,nan,1773-11,nan,nan,1,yes,yes,,,
GD107,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",nan,Roi de Juda,,,Chateaubriand,1,,33280,nan,nan,nan,1774-10,nan,nan,nan,1776-06,nan,nan,1,yes,yes,,,
GD108,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",nan,Jean-Baptiste,,,Chateaubriand,1,,,nan,nan,nan,1771-10,nan,nan,nan,nan,nan,nan,1,yes,yes,,,"No equivalent in the STDT, « naufragé en avril 1773 ». There is a mistake in JEH 2004 and Daudin 2001 : I have attributed the the Jean-Baptiste the «créances à recouvrer »"
GD109,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1738,Saint-Louis,,,,1,GD109/GD148,32079,nan,nan,nan,1735,nan,nan,nan,nan,nan,294,1,no,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD110,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1740,La Victoire,,,,1,,32127,nan,nan,nan,1739,nan,nan,nan,nan,nan,271,1,no,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD111,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1743,Saint-Louis,,,,1,,32099,nan,nan,nan,1742,nan,nan,nan,nan,nan,238,1,yes,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD112,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1751,Le Henoc,,,,1,GD112/GD152,32190,nan,nan,nan,1748,nan,nan,nan,nan,nan,328,1,yes,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD113,Ship,Judith Jacquinot,Investor,French,"Clark, p.144",1775,La Petite Suzanne et le Joly,,,,2,,32289 / 32288,nan,nan,nan,1773,nan,nan,nan,nan,nan,365,1,no,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD114,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1779,Le Meulan,,,,1,,32310,nan,nan,nan,1776,nan,nan,nan,nan,nan,304,1,yes,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD115,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",nan,La Belle Pauline,,,,1,,32336,nan,nan,nan,1783,nan,nan,nan,nan,nan,356,1,yes,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD116,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1792,l’Aimable Suzanne,,,,1,,32366,nan,nan,nan,1784,nan,nan,nan,nan,nan,344,1,yes,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD117,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1792,la Nouvelle Betsy,,,,1,,32405,nan,nan,nan,1786,nan,nan,nan,nan,nan,264,1,yes,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD118,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1792,l’Aimable Suzanne,,,,1,,32414,nan,nan,nan,1786,nan,nan,nan,nan,nan,354,1,no,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD119,Voyage,Judith Jacquinot,Investor,French,"Clark, p.144",1792,la Nouvelle Betsy,,,,1,,32424,nan,nan,nan,1789,nan,nan,nan,nan,nan,353,1,yes,no,,,"Maybe error in JEH 2004. It is not clear in the secondary source whether all the return data are there or not. Need to check with primary source. According to the text on La Nouvelle Betsy 1789, we have sale of slaves / of which cash or letters / and what is left to be collected."
GD120,Voyage,Judith Jacquinot,Captain,French,"Rinchon (1964), p.81-93",nan,Reine de France,Von Alstein,,"Bertrand, Nicolas",1,,30484,nan,nan,nan,1743-06-10,nan,nan,nan,nan,404,404,1,yes,no,,,
GD121,Voyage,Judith Jacquinot,Captain,French,"Rinchon (1964), p,99-133",nan,Telemaque,Pacaud,,Jogues Freres,1,,,nan,nan,nan,1763-03-05,nan,nan,nan,nan,819,nan,1,yes,no,,,No equivalent in the STDT
GD122,Voyage,Judith Jacquinot,Captain,French,"Rinchon (1964), p.135-222",nan,L’Africain,Von Alstein,,,1,,30842,nan,nan,nan,1766-06-25,nan,nan,nan,nan,nan,nan,1,no,yes,,,
GD123,Voyage,Judith Jacquinot,Captain,French,"Rinchon (1964), p.223-290",nan,Le Pompée,,,,1,,30911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,yes,yes,,3,"Vessel totally dilapilated. It won’t have the right to come back to France, from Le Cap Français."
GD124,Voyage,Judith Jacquinot,Captain,French,"Rinchon (1964), p. 295-331",nan,Le Duc de Laval,,,,1,,32283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,yes,yes,,,
GD125,Voyage,Judith Jacquinot,Captain,French,"Rinchon (1964), p.126-133",nan,Mentor,,,Jogues Freres,1,,,nan,nan,nan,nan,nan,nan,1765,nan,nan,nan,1,no,no,,,The captain cheated with the sold of slaves. Really few documentation. The vessel had a ship wreck in Bretagne
GD126,Voyage,Judith Jacquinot,Investor,French,Mc Watters Investment returns and la traite négrière (2008) (aussi évoqué dans Rinchon (1956) p. 52-57 ,nan,Saint Jean-Baptiste,,,De Guer,1,GD005/GD126,30948,nan,nan,nan,1771-08-06,1771-08-20,1772-01-06,1772-02-25,1772-07-11,571,560,1,yes,yes,,,"Computation by the owner, but does not include commission. IRR in the source : 13.69 %"
GD127,Voyage,Judith Jacquinot,Investor,French,Mc Watters Investment returns and la traite négrière (2008),nan,Saint Jean-Baptiste,,,De Guer,1,GD050/GD128,31000,nan,nan,nan,1773-11-19,1774-01-29,1774-05-02,1774-06-18,1774-10-02,nan,nan,1,yes,yes,,,"Computation by the owner, but does not include commission. IRR in the source : 18.99 %"
GD128,Voyage,Judith Jacquinot,Investor,French,Mc Watters Investment returns and la traite négrière (2008),nan,Saint Jean-Baptiste,,,De Guer,1,GD051/GD127,31026,nan,nan,nan,1775-05-01,1775-09-15,1775-12-11,1776-02-08,1776-06-30,nan,nan,1,yes,yes,,,"Computation by the owner, but does not include commission. IRR in the source : 2.8 %"
GD138,Voyage,Claire Kraemer,Investor,French,"Meyer (1969), p. 278  and 304-305",1783-08-14,Le Henry Quatre,,,Delaville,1,,31115,nan,Angola,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD139,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969),  p. 279 &  287",1764-12-18,Les deux Nottons,,,,1,GD028/GD139,30794,nan,Côte d'Or  ,nan,nan,nan,nan,nan,nan,nan,nan,1,yes,no,,,No equivalent in the STDT. Has to be signaled
GD140,Voyage,Guillaume Daudin,Investor,French,Saugera (1987),1802,La Bonne-Mère,Pierre-Julien Hardy,,Trottier,1,,,Nantes,Bonny,Martinique,1802-08-30,1802-10-23,1802-12-04,1803-01-28,1803-06-01,nan,298,,yes,no,,,Saugera estimates the profit (before the sale of the ship) of between 18.9 % and -14.6 %
GD141,Ship,Guillaume Daudin,Investor,French,Saugera (1989),1814,Le Cultivateur,Basilic Leray and ,,Rossel & Boudet,1,GD141/GD142,34009,Nantes,Bonny,Fort de France (ou Fort Royal) Martinique,1815-04-01,1816-05-06,1816-08-21,1816-09-29,1817-08-27,525,492,0.0165,yes,yes,yes,,"This is the account given by the captain to a sub-investor. The ship first went to Africa, was captured by the British and sent to Plymouth. It was then freed and went back to Africa, then Martinique and Nantes. Quickly after, he departed again in a direct voyage to get more sugar and arrived back to Nantes in 1817"
GD142,Ship,Guillaume Daudin,Investor,French,Saugera (1989),1814,Le Cultivateur,Basilic Leray and ,,Rossel & Boudet,1,GD141/GD142,34009,Nantes,Bonny,Fort de France (ou Fort Royal) Martinique,1815-04-01,1816-05-06,1816-08-21,1816-09-29,1817-08-27,525,492,1,yes,no,,,"This is from the (incomplete) accounts themselves The ship first went to Africa, was captured by the British and sent to Plymouth. It was then freed and went back to Africa, then Martinique and Nantes. Quickly after, he departed again in a direct voyage to get more sugar and arrived back to Nantes in 1817"
GD143,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 294,1741,la Bellone,,,,1,,32148,La Rochelle,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD144,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 294,1783,La Jeune-Aimée,,,,1,,31121,Nantes,Angola,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD145,Ship,Guillaume Daudin,Unknown,French,Deveau (2009) p. 294,1782,Bellecombe ou Zeepaert,,,,2,,32332 / ?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,Only one travel in STDT ?
GD146,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 295,1774,Betsy,,,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,
GD147,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 295,1776,Betsy,,,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,yes,no,,,1778 pour le 2e voyage semble une erreur
GD148,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 296,1735,Saint-Louis,,,,1,GD109/GD148,32079,La Rochelle,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,Estimation de mise-hors
GD149,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 296,1739,Crysolithe,,,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,
GD150,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 296,1739,Béril,,,,1,,32111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,
GD151,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 296,1741,Béril,,,,1,,32156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,
GD152,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 296,1748,Henoc,,,,1,GD112/GD152,32190,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,
GD153,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 296,1773,Duc-de-Laval,,,,1,,32305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,Identification based on tonnage
GD154,Voyage,Guillaume Daudin,Unknown,French,Deveau (2009) p. 296,1774,Dahomet,,,,1,,32292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,no,no,,,
GD155,Ship,Guillaume Daudin,Investor,French,"Meyer (1969), p. 406-407, 432",1786,"Le Bailli de Suffren, La Fine, Le Passe-Partout",Barbier/Barbier/Barbier,Bertrand de Cœuvre,Desclos Le Perley freres/Desclos Le Perley freres/Desclos Le Perley freres,3,GD30/GD075/GD076/GD077/GD155,31188 / 31189 / 31184,nan,Côte d’Angola/Côte d’Angola/Côte d’Angola,nan,nan,nan,nan,nan,nan,nan,nan,0.0833333333333333,yes,with estimates,,,"Only the first voyage is a slave one (three ships, though, so 3 voyages) Contradictory informations about the captain’s names. Due to the multiplicity of vessels and ships, complicated to deal with some data, as the value of the ship ; various share of the ship for several ventures. We have both a compte de désarmement and the « répartitions ». To prevent double counting, I classify the compte de désarmement as « Transactions during the voyage »."
GD156,Ship,Guillaume Daudin,Investor,French,Marzagalli (2017) et AM Bordeaux 1_S_3  – p. 16 & 23,1787,Joujou,"Cousse, Jacques",,"Castaing, Pierre",1,,31676,Bordeaux,Angola,Cap-Français,1785-09-17,nan,nan,nan,1787-02-22,nan,nan,1,yes,no,,,"Does not mention outstanding returns : I assume the returns are incomplete. No commission, but the outfitter owns 37/48e and the captain 7/48e"
GD157,Ship,Guillaume Daudin,Investor,French,Marzagalli (2017) et AM Bordeaux 1_S_3  – p. 29 & 40,1789,Manette,"Cousse, Jacques",,"Castaing, Pierre",1,,31720,Bordeaux,Angola,Cap-Français,1787-12-27,nan,nan,nan,1789-04-04,nan,nan,1,yes,with estimates,,,
GD158,Ship,Guillaume Daudin,Investor,French,Marzagalli (2017) et AM Bordeaux 1_S_3  – p. 35 & 43,1790,Joujou,"Salomon, Jacques",,"Castaing, Pierre",1,,31735,Bordeaux,Angola,Cap-Français,1788-09-08,nan,nan,nan,1790-01,nan,nan,1,yes,with estimates,,,
GD159,Ship,Guillaume Daudin,Investor,French,Marzagalli (2017) et AM Bordeaux 1_S_3  – p. 47 & 57,1791,Manette,"Cousse, Jacques",,"Castaing, Pierre",1,,31781,Bordeaux,Angola,Cap-Français,1790-02-17,nan,nan,nan,1791-05-18,nan,nan,1,yes,with estimates,,,
GD160,Ship,Guillaume Daudin,Investor,French,Marzagalli (2017) et AM Bordeaux 1_S_3  – p. 47 & 57,1793,Joujou,"Desse, Pierre/Desse, Pierre/Desse, Pierre",,"Castaing, Pierre/Castaing, Pierre/Castaing, Pierre",3,,31801/33594/33829,Bordeaux,Sénégal/Sénégal/Sénégal,Havana,1791-03-18,nan,nan,nan,1793-01-26,nan,nan,1,yes,no,,1,Does not mention outstanding returns : I assume the returns are incomplete + TSDT mentions 3 voyages. I think there were only 2
GK001,Voyage,Gerhard de Kok,Firm,Dutch,"De Kok 2019, 280-290",nan,Aurora,Johannes Bakker,,Middelburgse Commercie Compagnie,1,,10444,Middelburg,nan,nan,1771-12-05,nan,nan,nan,1773-04-21,318,312,1,yes,yes,,,"Figures are calculated from the accounts, more detail can be found in the MCC archive. Original source in Flemish Pounds."
